,position,art_id,art_name,album_name,song_id,song_name,popularity,date,chart_power
0,1,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,11,2020-12-13,20
1,2,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,7HjQRQ1f42ikbZ8gDb7B0m,Weirdo,32,2020-12-13,19
2,3,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Precious Art,0RleBUunpuPOEINL7MoSOc,Wendy's Trash Can,42,2020-12-13,18
3,4,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,Nuclear Psychology,1yihwsSymgN8WSrqHKljSk,King of Flowers (ESP),12,2020-12-13,17
4,5,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,37,2020-12-13,16
5,6,692VvGTch5OLXj4zEE6H3y,Radio Moscow,Magical Dirt,0euMI4b2v9kh91EimRxzlp,So Alone,32,2020-12-13,15
6,7,5yC8tl2VVpS4HO758L0lSc,Cayetana,Nervous Like Me,3GO5zABb99dOHJPNUiyj0R,Serious Things Are Stupid,24,2020-12-13,14
7,8,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,53,2020-12-13,13
8,9,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,Of Course You Do,4IvPEuTkgfHfDQIxcwfcZ0,Cubicle,33,2020-12-13,12
9,10,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,45,2020-12-13,11
10,11,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,65,2020-12-13,10
11,12,3y6SKYXXP4lrliD6CzVXH3,Sugar Candy Mountain,666,324MRo4QQa2yJO0jUQ7u38,Who I Am,28,2020-12-13,9
12,13,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,0xDOL7sItKiKMw7hdyUwas,Kangaroo Pocket,35,2020-12-13,8
13,14,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,The Best of Flaco Jiménez,2u0s5fj0jWlUoIK4za8eEu,Un Mojado Sin Licensia,16,2020-12-13,7
14,15,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,53,2020-12-13,6
15,16,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,Daddy's Home,6fv8qrWMteFmNGzU6Jo0E4,Show & Prove,39,2020-12-13,5
16,17,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,Snake Farm,2vULyRIRIZH8dnw7lyXAcR,Snake Farm,50,2020-12-13,4
17,18,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Singles 1965-1967,1CKvinIoExZec5pv8OHtzU,Get Off Of My Cloud - (Original Single Mono Version),34,2020-12-13,3
18,19,6liAMWkVf5LH7YR9yfFy1Y,Portishead,Dummy,6vTtCOimcPs5H1Jr9d0Aep,Sour Times,60,2020-12-13,2
19,20,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),88,2020-12-13,1
20,1,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,11,2020-12-14,20
21,2,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,7HjQRQ1f42ikbZ8gDb7B0m,Weirdo,32,2020-12-14,19
22,3,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Precious Art,0RleBUunpuPOEINL7MoSOc,Wendy's Trash Can,42,2020-12-14,18
23,4,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,37,2020-12-14,17
24,5,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,Nuclear Psychology,1yihwsSymgN8WSrqHKljSk,King of Flowers (ESP),12,2020-12-14,16
25,6,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,53,2020-12-14,15
26,7,692VvGTch5OLXj4zEE6H3y,Radio Moscow,Magical Dirt,0euMI4b2v9kh91EimRxzlp,So Alone,32,2020-12-14,14
27,8,5yC8tl2VVpS4HO758L0lSc,Cayetana,Nervous Like Me,3GO5zABb99dOHJPNUiyj0R,Serious Things Are Stupid,24,2020-12-14,13
28,9,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,Of Course You Do,4IvPEuTkgfHfDQIxcwfcZ0,Cubicle,33,2020-12-14,12
29,10,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,45,2020-12-14,11
30,11,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,0xDOL7sItKiKMw7hdyUwas,Kangaroo Pocket,35,2020-12-14,10
31,12,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,The Best of Flaco Jiménez,2u0s5fj0jWlUoIK4za8eEu,Un Mojado Sin Licensia,16,2020-12-14,9
32,13,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),88,2020-12-14,8
33,14,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,53,2020-12-14,7
34,15,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Singles 1965-1967,1CKvinIoExZec5pv8OHtzU,Get Off Of My Cloud - (Original Single Mono Version),35,2020-12-14,6
35,16,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,Daddy's Home,6fv8qrWMteFmNGzU6Jo0E4,Show & Prove,39,2020-12-14,5
36,17,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,65,2020-12-14,4
37,18,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,Snake Farm,2vULyRIRIZH8dnw7lyXAcR,Snake Farm,50,2020-12-14,3
38,19,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,Fuzz,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,53,2020-12-14,2
39,20,6liAMWkVf5LH7YR9yfFy1Y,Portishead,Dummy,6vTtCOimcPs5H1Jr9d0Aep,Sour Times,61,2020-12-14,1
40,1,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,11,2020-12-16,20
41,2,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,7HjQRQ1f42ikbZ8gDb7B0m,Weirdo,32,2020-12-16,19
42,3,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Precious Art,0RleBUunpuPOEINL7MoSOc,Wendy's Trash Can,42,2020-12-16,18
43,4,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,37,2020-12-16,17
44,5,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,Nuclear Psychology,1yihwsSymgN8WSrqHKljSk,King of Flowers (ESP),12,2020-12-16,16
45,6,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,53,2020-12-16,15
46,7,5yC8tl2VVpS4HO758L0lSc,Cayetana,Nervous Like Me,3GO5zABb99dOHJPNUiyj0R,Serious Things Are Stupid,23,2020-12-16,14
47,8,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,Of Course You Do,4IvPEuTkgfHfDQIxcwfcZ0,Cubicle,33,2020-12-16,13
48,9,692VvGTch5OLXj4zEE6H3y,Radio Moscow,Magical Dirt,0euMI4b2v9kh91EimRxzlp,So Alone,32,2020-12-16,12
49,10,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,53,2020-12-16,11
50,11,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,45,2020-12-16,10
51,12,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),88,2020-12-16,9
52,13,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,0xDOL7sItKiKMw7hdyUwas,Kangaroo Pocket,35,2020-12-16,8
53,14,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,The Best of Flaco Jiménez,2u0s5fj0jWlUoIK4za8eEu,Un Mojado Sin Licensia,16,2020-12-16,7
54,15,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,Daddy's Home,6fv8qrWMteFmNGzU6Jo0E4,Show & Prove,39,2020-12-16,6
55,16,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Singles 1965-1967,1CKvinIoExZec5pv8OHtzU,Get Off Of My Cloud - (Original Single Mono Version),35,2020-12-16,5
56,17,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,65,2020-12-16,4
57,18,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,Snake Farm,2vULyRIRIZH8dnw7lyXAcR,Snake Farm,50,2020-12-16,3
58,19,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,Fuzz,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,53,2020-12-16,2
59,20,6liAMWkVf5LH7YR9yfFy1Y,Portishead,Dummy,6vTtCOimcPs5H1Jr9d0Aep,Sour Times,61,2020-12-16,1
60,1,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,11,2020-12-17,20
61,2,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,7HjQRQ1f42ikbZ8gDb7B0m,Weirdo,33,2020-12-17,19
62,3,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,37,2020-12-17,18
63,4,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Precious Art,0RleBUunpuPOEINL7MoSOc,Wendy's Trash Can,42,2020-12-17,17
64,5,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,54,2020-12-17,16
65,6,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,Nuclear Psychology,1yihwsSymgN8WSrqHKljSk,King of Flowers (ESP),13,2020-12-17,15
66,7,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,53,2020-12-17,14
67,8,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,45,2020-12-17,13
68,9,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),88,2020-12-17,12
69,10,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,0xDOL7sItKiKMw7hdyUwas,Kangaroo Pocket,35,2020-12-17,11
70,11,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,65,2020-12-17,10
71,12,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,The Best of Flaco Jiménez,2u0s5fj0jWlUoIK4za8eEu,Un Mojado Sin Licensia,16,2020-12-17,9
72,13,5yC8tl2VVpS4HO758L0lSc,Cayetana,Nervous Like Me,3GO5zABb99dOHJPNUiyj0R,Serious Things Are Stupid,24,2020-12-17,8
73,14,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,Of Course You Do,4IvPEuTkgfHfDQIxcwfcZ0,Cubicle,33,2020-12-17,7
74,15,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,Daddy's Home,6fv8qrWMteFmNGzU6Jo0E4,Show & Prove,39,2020-12-17,6
75,16,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Singles 1965-1967,1CKvinIoExZec5pv8OHtzU,Get Off Of My Cloud - (Original Single Mono Version),35,2020-12-17,5
76,17,692VvGTch5OLXj4zEE6H3y,Radio Moscow,Magical Dirt,0euMI4b2v9kh91EimRxzlp,So Alone,33,2020-12-17,4
77,18,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,Snake Farm,2vULyRIRIZH8dnw7lyXAcR,Snake Farm,50,2020-12-17,3
78,19,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,Fuzz,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,53,2020-12-17,2
79,20,3Oim8XBPbznAa8Jj8QzNc8,Cults,Static,2MZpnGSXiJamWiwsXpBLHW,I Can Hardly Make You Mine,38,2020-12-17,1
80,1,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,11,2020-12-18,20
81,2,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,37,2020-12-18,19
82,3,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Precious Art,0RleBUunpuPOEINL7MoSOc,Wendy's Trash Can,42,2020-12-18,18
83,4,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,54,2020-12-18,17
84,5,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,7HjQRQ1f42ikbZ8gDb7B0m,Weirdo,33,2020-12-18,16
85,6,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,54,2020-12-18,15
86,7,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,45,2020-12-18,14
87,8,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),88,2020-12-18,13
88,9,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,0xDOL7sItKiKMw7hdyUwas,Kangaroo Pocket,35,2020-12-18,12
89,10,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,Fuzz,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,53,2020-12-18,11
90,11,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,The Best of Flaco Jiménez,2u0s5fj0jWlUoIK4za8eEu,Un Mojado Sin Licensia,16,2020-12-18,10
91,12,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,Daddy's Home,6fv8qrWMteFmNGzU6Jo0E4,Show & Prove,39,2020-12-18,9
92,13,3Oim8XBPbznAa8Jj8QzNc8,Cults,Static,2MZpnGSXiJamWiwsXpBLHW,I Can Hardly Make You Mine,38,2020-12-18,8
93,14,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Singles 1965-1967,1CKvinIoExZec5pv8OHtzU,Get Off Of My Cloud - (Original Single Mono Version),35,2020-12-18,7
94,15,5yC8tl2VVpS4HO758L0lSc,Cayetana,Nervous Like Me,3GO5zABb99dOHJPNUiyj0R,Serious Things Are Stupid,24,2020-12-18,6
95,16,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,65,2020-12-18,5
96,17,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,Nuclear Psychology,1yihwsSymgN8WSrqHKljSk,King of Flowers (ESP),13,2020-12-18,4
97,18,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,Snake Farm,2vULyRIRIZH8dnw7lyXAcR,Snake Farm,50,2020-12-18,3
98,19,4FJPplt1JOVw8Q7NiwFmLv,Friend Within,For You,6xHMVdQMf3qeKK5UppJ8Ae,For You,47,2020-12-18,2
99,20,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,Of Course You Do,4IvPEuTkgfHfDQIxcwfcZ0,Cubicle,33,2020-12-18,1
120,1,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,36,2020-12-28,20
121,2,574PYry9WzUvHwvtxmKKSW,Antarctigo Vespucci,I'm so Tethered,0EGk96bwbJkpszncikwbSf,I Drew You Once in Art Class,34,2020-12-28,19
122,3,4FJPplt1JOVw8Q7NiwFmLv,Friend Within,For You,6xHMVdQMf3qeKK5UppJ8Ae,For You,46,2020-12-28,18
123,4,35l9BRT7MXmM8bv2WDQiyB,beabadoobee,Fake It Flowers,3r1qdSsvJEwiMKHeCWapMM,Worth It,55,2020-12-28,17
124,5,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,10,2020-12-28,16
125,6,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,53,2020-12-28,15
126,7,1Hs5RG6WIwUSJLxRYWaOW6,Great Grandpa,Plastic Cough,54jUzTyKnfpouJMuEgcO1s,Teen Challenge,36,2020-12-28,14
127,8,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,44,2020-12-28,13
128,9,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,54,2020-12-28,12
129,10,4pdoRs7yHNXakMobf8M9Oz,SASAMI,Mess,0qGy2mmBbemdvjHy1cfmrD,Mess,36,2020-12-28,11
130,11,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,The Slip,0Z4pLlygCvkTHmeQtYAbNH,Discipline,50,2020-12-28,10
131,12,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,Fuzz,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,52,2020-12-28,9
132,13,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),88,2020-12-28,8
133,14,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,Daddy's Home,6fv8qrWMteFmNGzU6Jo0E4,Show & Prove,38,2020-12-28,7
134,15,5n9jfCRA7AFY1JfYc5ZYK5,Becca Mancari,First Time,7o9gedLq27PNlVLU1XkGXI,Hunter,32,2020-12-28,6
135,16,3Oim8XBPbznAa8Jj8QzNc8,Cults,Static,2MZpnGSXiJamWiwsXpBLHW,I Can Hardly Make You Mine,38,2020-12-28,5
136,17,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,64,2020-12-28,4
